Comment,Designator,Footprint,LCSC Part #
1M,R38,R0402,
1N4148,D1 D2,SOD323J,
1k,R27 R33 R34 R43 R45,R0402,
1k2,R16 R17,R0603,
1k5,R1 R2,R0402,
1uF,C1 C4 C5 C15 C16,C0402-J,
2k7,R5 R6 R13 R14,R0603,
2n2,C14,C0603-J,
3k3,R31,R0402,
3n3,C12,C0603-J,
4k7,R32,R0402,
6k8,R8 R12 R15,R0603,
8k2,R41,R0603,
10k,R22 R30 R44,R0402,
10n,C10,C0402-J,
12k,R7 R11,R0402,
15k,R18 R19 R20 R21 R35 R48,R0402,
20k,R39 R40,R0402,
22n,C9,C0402-J,
33k,R26 R42 R46,R0402,
47uF,C2 C3,C1206,
68k,R23 R25,R0603,
100k,R28 R37,R0402,
100n,C8,C0402-J,
180k,R3 R4,R0402,
200k,R29,RTRIM3296W,
220k,R24,R0603,
220n,C13,C0402-J,
300k,R36,R0603,
470n,C6 C7 C11,C0603-J,
500R,R9 R10,RTRIM3296X,
510R,R47 R49,R0402,
LM13700SL,IC3,SO16-NARROW-J,
MA06-1JN,X1 X2,MA06N-1J,
MC1496DR2G,U1,SOIC127P600X175-14N,
MMBT3906,Q1,SOT23-BEC,
NOISE-2N3904,T1,NOISE-2N3904-J,
TL074JT,IC1 IC2,TSSOP14J,
