Designator,Mid X,Mid Y,Layer,Rotation
C1,26.99,11.43,Top,90
C2,40.96,16.83,Top,0
C3,40.96,19.05,Top,0
C4,6.99,12.07,Top,0
C5,6.99,10.79,Top,180
C6,7.78,16.99,Top,90
C7,7.3,5.08,Top,90
C8,16.51,16.51,Top,270
C9,15.24,16.51,Top,270
C10,13.97,16.51,Top,270
C11,3.02,17.94,Top,270
C12,15.88,11.43,Top,90
C13,15.24,6.19,Top,270
C14,11.43,5.08,Top,270
C15,44.13,17.14,Top,90
C16,43.02,6.51,Top,0
D1,34.93,17.14,Top,270
D2,36.83,17.14,Top,90
IC1,30.16,11.43,Top,180
IC2,10.79,11.43,Top,180
IC3,38.73,11.43,Top,0
Q1,40.32,4.45,Top,0
R1,26.67,16.19,Top,270
R2,27.78,16.67,Top,90
R3,22.38,16.51,Top,270
R4,22.23,6.35,Top,90
R5,20.8,16.51,Top,90
R6,20.64,6.35,Top,270
R7,21.75,20.96,Top,0
R8,27.15,1.75,Top,180
R9,33.66,20.96,Top,270
R10,33.66,1.91,Top,270
R11,23.5,16.51,Top,90
R12,23.97,0.48,Top,180
R13,25.08,16.51,Top,90
R14,17.94,6.35,Top,90
R15,23.81,6.35,Top,90
R16,25.88,6.35,Top,270
R17,18.1,16.51,Top,90
R18,27.46,6.35,Top,90
R19,29.85,6.35,Top,270
R20,30.96,6.35,Top,270
R21,28.58,6.35,Top,90
R22,30.96,16.51,Top,90
R23,29.37,16.83,Top,270
R24,0.95,17.94,Top,90
R25,9.84,16.99,Top,90
R26,16.51,13.97,Top,90
R27,6.99,8.26,Top,0
R28,6.99,9.53,Top,180
R29,2.54,11.43,Top,0
R30,15.24,13.97,Top,90
R31,13.97,13.97,Top,90
R32,14.13,6.19,Top,270
R33,6.19,18.41,Top,270
R34,11.43,16.51,Top,270
R35,13.02,6.19,Top,90
R36,9.37,5.08,Top,90
R37,4.6,17.78,Top,270
R38,14.29,11.43,Top,270
R39,6.19,15.88,Top,270
R40,12.7,16.51,Top,270
R41,43.5,4.45,Top,270
R42,33.18,6.35,Top,90
R43,32.07,6.35,Top,270
R44,34.29,6.35,Top,270
R45,32.07,16.51,Top,270
R46,33.34,16.51,Top,270
R47,38.1,6.35,Top,90
R48,35.88,6.35,Top,90
R49,36.99,6.35,Top,90
T1,2.86,4.76,Top,180
U1,21.91,11.43,Top,0
X1,21.59,3.81,Top,0
X2,21.59,19.05,Top,180
