Designator,Mid X,Mid Y,Layer,Rotation
C1,26.99,11.43,Top,90.0
C2,42.23,16.83,Top,0.0
C3,42.23,19.05,Top,0.0
C4, 6.99,12.07,Top,0.0
C5, 6.99,10.79,Top,180.0
C6, 7.78,16.99,Top,90.0
C7, 7.30, 5.08,Top,90.0
C8,16.51,16.51,Top,270.0
C9,15.24,16.51,Top,270.0
C10,13.97,16.51,Top,270.0
C11, 3.02,17.94,Top,270.0
C12,15.88,11.43,Top,90.0
C13,15.24, 6.19,Top,270.0
C14,11.43, 5.08,Top,270.0
C15,45.40,17.14,Top,90.0
C16,44.93, 6.51,Top,0.0
D1,36.20,17.14,Top,270.0
D2,38.10,17.14,Top,90.0
IC1,31.43,11.43,Top,180.0
IC2,10.79,11.43,Top,180.0
IC3,40.64,11.43,Top,0.0
Q1,41.59, 4.45,Top,90.0
R1,26.67,16.19,Top,270.0
R2,27.78,16.67,Top,90.0
R3,22.38,16.51,Top,270.0
R4,21.91, 6.35,Top,90.0
R5,20.80,16.51,Top,90.0
R6,20.32, 6.35,Top,270.0
R7,21.75,20.96,Top,0.0
R8,27.15, 1.75,Top,180.0
R9,33.66,20.96,Top,270.0
R10,33.66, 1.91,Top,270.0
R11,23.50,16.51,Top,90.0
R12,23.97, 0.48,Top,180.0
R13,25.08,16.51,Top,90.0
R14,17.94, 6.35,Top,90.0
R15,23.50, 6.35,Top,90.0
R16,25.56, 6.35,Top,270.0
R17,18.10,16.51,Top,90.0
R18,27.15, 6.03,Top,90.0
R19,29.69, 6.03,Top,270.0
R20,30.80, 6.03,Top,270.0
R21,28.26, 6.03,Top,90.0
R22,30.96,16.51,Top,90.0
R23,29.37,16.83,Top,270.0
R24, 0.95,17.94,Top,90.0
R25, 9.84,16.99,Top,90.0
R26,16.51,13.97,Top,90.0
R27, 6.99, 8.26,Top,0.0
R28, 6.99, 9.53,Top,180.0
R29, 2.54,11.43,Top,0.0
R30,15.24,13.97,Top,90.0
R31,13.97,13.97,Top,90.0
R32,14.13, 6.19,Top,270.0
R33, 6.19,18.41,Top,270.0
R34,11.43,16.51,Top,270.0
R35,13.02, 6.19,Top,90.0
R36, 9.37, 5.08,Top,90.0
R37, 4.60,17.78,Top,270.0
R38,14.29,11.43,Top,270.0
R39, 6.19,15.88,Top,270.0
R40,12.70,16.51,Top,270.0
R41,44.77, 4.45,Top,270.0
R42,31.91, 6.03,Top,90.0
R43,33.02, 6.03,Top,270.0
R44,36.99, 6.35,Top,270.0
R45,32.07,16.51,Top,270.0
R46,33.34,16.51,Top,270.0
R47,40.32, 6.35,Top,90.0
R48,38.10, 6.35,Top,90.0
R49,39.21, 6.35,Top,90.0
R50,34.61, 6.67,Top,0.0
R51,34.61, 5.48,Top,180.0
T1, 2.86, 4.76,Top,180.0
U1,21.91,11.43,Top,90.0
X1,21.59, 3.81,Top,0.0
X2,21.59,19.05,Top,180.0
